analysis_date,alert_id,alert_timestamp,alert_description,predicted_ttps,predicted_cves,real_ttps,real_cves,report_path,execution_time,token_usage,llm_calls,node_breakdown,evaluation_id
2026-06-05 14:35:24.466331,1758566220.114981,2025-09-22 18:37:00.601000+00:00,Processes running for all users were queried with ps command.,['T1057'],[],['T1057'],[],,4.7,"{'prompt_tokens': 6554, 'completion_tokens': 1065, 'total_tokens': 7619}",2,"{""classification"": {""duration_s"": 1.13, ""prompt_tokens"": 2908, ""completion_tokens"": 115, ""total_tokens"": 3023}, ""mitre_search_node"": {""duration_s"": 0.06, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 3.29, ""prompt_tokens"": 3646, ""completion_tokens"": 950, ""total_tokens"": 4596}}",
2026-06-05 14:35:29.705349,1758567061.1156068,2025-09-22 18:51:01.034000+00:00,sshd: authentication success.,"['T1021.004', 'T1098.004']",[],"['T1078', 'T1021']",[],,5.24,"{'prompt_tokens': 4195, 'completion_tokens': 1523, 'total_tokens': 5718}",2,"{""classification"": {""duration_s"": 0.87, ""prompt_tokens"": 4340, ""completion_tokens"": 232, ""total_tokens"": 4572}, ""mitre_search_node"": {""duration_s"": 0.04, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 4.32, ""prompt_tokens"": 6409, ""completion_tokens"": 2356, ""total_tokens"": 8765}}",
2026-06-05 14:35:34.336854,1758567061.115612,2025-09-22 18:51:01.061000+00:00,PAM: Login session opened.,"['T1021.004', 'T1021']",[],['T1078'],[],,4.63,"{'prompt_tokens': 3738, 'completion_tokens': 1350, 'total_tokens': 5088}",2,"{""classification"": {""duration_s"": 0.83, ""prompt_tokens"": 5612, ""completion_tokens"": 329, ""total_tokens"": 5941}, ""mitre_search_node"": {""duration_s"": 0.02, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 3.78, ""prompt_tokens"": 8875, ""completion_tokens"": 3609, ""total_tokens"": 12484}}",
2026-06-05 14:39:58.831031,1758566220.114981,2025-09-22 18:37:00.601000+00:00,Processes running for all users were queried with ps command.,['T1057'],[],['T1057'],[],,4.6,"{'prompt_tokens': 6452, 'completion_tokens': 1035, 'total_tokens': 7487}",2,"{""classification"": {""duration_s"": 1.13, ""prompt_tokens"": 2908, ""completion_tokens"": 117, ""total_tokens"": 3025}, ""mitre_search_node"": {""duration_s"": 0.09, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 3.16, ""prompt_tokens"": 3544, ""completion_tokens"": 918, ""total_tokens"": 4462}}",
2026-06-05 14:40:03.831344,1758567061.1156068,2025-09-22 18:51:01.034000+00:00,sshd: authentication success.,"['T1021.004', 'T1098.004']",[],"['T1078', 'T1021']",[],,5.0,"{'prompt_tokens': 4155, 'completion_tokens': 1517, 'total_tokens': 5672}",2,"{""classification"": {""duration_s"": 0.88, ""prompt_tokens"": 4340, ""completion_tokens"": 234, ""total_tokens"": 4574}, ""mitre_search_node"": {""duration_s"": 0.04, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 4.07, ""prompt_tokens"": 6267, ""completion_tokens"": 2318, ""total_tokens"": 8585}}",
2026-06-05 14:40:09.422301,1758567061.115612,2025-09-22 18:51:01.061000+00:00,PAM: Login session opened.,"['T1021.004', 'T1078.001']",[],['T1078'],[],,5.59,"{'prompt_tokens': 4306, 'completion_tokens': 1362, 'total_tokens': 5668}",2,"{""classification"": {""duration_s"": 0.96, ""prompt_tokens"": 5612, ""completion_tokens"": 331, ""total_tokens"": 5943}, ""mitre_search_node"": {""duration_s"": 0.02, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 4.6, ""prompt_tokens"": 9301, ""completion_tokens"": 3583, ""total_tokens"": 12884}}",
2026-06-05 14:41:06.309806,1758566220.114981,2025-09-22 18:37:00.601000+00:00,Processes running for all users were queried with ps command.,['T1057'],[],['T1057'],[],,4.43,"{'prompt_tokens': 6393, 'completion_tokens': 1002, 'total_tokens': 7395}",2,"{""classification"": {""duration_s"": 1.07, ""prompt_tokens"": 2908, ""completion_tokens"": 112, ""total_tokens"": 3020}, ""mitre_search_node"": {""duration_s"": 0.04, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 3.09, ""prompt_tokens"": 3485, ""completion_tokens"": 890, ""total_tokens"": 4375}}",
2026-06-05 14:41:11.111538,1758567061.1156068,2025-09-22 18:51:01.034000+00:00,sshd: authentication success.,"['T1021.004', 'T1078.001']",[],"['T1078', 'T1021']",[],,4.8,"{'prompt_tokens': 4422, 'completion_tokens': 1383, 'total_tokens': 5805}",2,"{""classification"": {""duration_s"": 0.91, ""prompt_tokens"": 4340, ""completion_tokens"": 227, ""total_tokens"": 4567}, ""mitre_search_node"": {""duration_s"": 0.02, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 3.86, ""prompt_tokens"": 6475, ""completion_tokens"": 2158, ""total_tokens"": 8633}}",
2026-06-05 14:41:15.806458,1758567061.115612,2025-09-22 18:51:01.061000+00:00,PAM: Login session opened.,"['T1021.004', 'T1021']",[],['T1078'],[],,4.69,"{'prompt_tokens': 4306, 'completion_tokens': 1370, 'total_tokens': 5676}",2,"{""classification"": {""duration_s"": 0.91, ""prompt_tokens"": 5612, ""completion_tokens"": 324, ""total_tokens"": 5936}, ""mitre_search_node"": {""duration_s"": 0.02, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 3.76, ""prompt_tokens"": 9509, ""completion_tokens"": 3431, ""total_tokens"": 12940}}",
2026-06-05 14:51:08.459572,1758566220.114981,2025-09-22 18:37:00.601000+00:00,Processes running for all users were queried with ps command.,['T1057'],[],['T1057'],[],,18.34,"{'prompt_tokens': 6393, 'completion_tokens': 1047, 'total_tokens': 7440}",2,"{""classification"": {""duration_s"": 12.72, ""prompt_tokens"": 2908, ""completion_tokens"": 112, ""total_tokens"": 3020}, ""mitre_search_node"": {""duration_s"": 0.05, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 5.35, ""prompt_tokens"": 3485, ""completion_tokens"": 935, ""total_tokens"": 4420}}",
2026-06-05 14:51:12.011492,1758567061.1156068,2025-09-22 18:51:01.034000+00:00,sshd: authentication success.,['T1021.004'],[],"['T1078', 'T1021']",[],,3.55,"{'prompt_tokens': 4422, 'completion_tokens': 897, 'total_tokens': 5319}",2,"{""classification"": {""duration_s"": 0.86, ""prompt_tokens"": 4340, ""completion_tokens"": 228, ""total_tokens"": 4568}, ""mitre_search_node"": {""duration_s"": 0.02, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 2.66, ""prompt_tokens"": 6475, ""completion_tokens"": 1716, ""total_tokens"": 8191}}",
2026-06-05 14:51:17.097422,1758567061.115612,2025-09-22 18:51:01.061000+00:00,PAM: Login session opened.,"['T1021.004', 'T1021']",[],['T1078'],[],,5.08,"{'prompt_tokens': 3943, 'completion_tokens': 1365, 'total_tokens': 5308}",2,"{""classification"": {""duration_s"": 0.83, ""prompt_tokens"": 5612, ""completion_tokens"": 326, ""total_tokens"": 5938}, ""mitre_search_node"": {""duration_s"": 0.02, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 4.23, ""prompt_tokens"": 9146, ""completion_tokens"": 2983, ""total_tokens"": 12129}}",
2026-06-05 14:55:31.381172,1758566220.114981,2025-09-22 18:37:00.601000+00:00,Processes running for all users were queried with ps command.,['T1057'],[],['T1057'],[],,4.58,"{'prompt_tokens': 6554, 'completion_tokens': 1045, 'total_tokens': 7599}",2,"{""classification"": {""duration_s"": 1.23, ""prompt_tokens"": 2908, ""completion_tokens"": 124, ""total_tokens"": 3032}, ""mitre_search_node"": {""duration_s"": 0.04, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 3.1, ""prompt_tokens"": 3646, ""completion_tokens"": 921, ""total_tokens"": 4567}}",EVAL-F00D5E
2026-06-05 14:55:36.454690,1758567061.1156068,2025-09-22 18:51:01.034000+00:00,sshd: authentication success.,"['T1098.004', 'T1021.004']",[],"['T1078', 'T1021']",[],,5.07,"{'prompt_tokens': 4119, 'completion_tokens': 1446, 'total_tokens': 5565}",2,"{""classification"": {""duration_s"": 0.86, ""prompt_tokens"": 4340, ""completion_tokens"": 239, ""total_tokens"": 4579}, ""mitre_search_node"": {""duration_s"": 0.03, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 4.17, ""prompt_tokens"": 6333, ""completion_tokens"": 2252, ""total_tokens"": 8585}}",EVAL-F00D5E
2026-06-05 14:55:41.047181,1758567061.115612,2025-09-22 18:51:01.061000+00:00,PAM: Login session opened.,"['T1021.004', 'T1021']",[],['T1078'],[],,4.59,"{'prompt_tokens': 3960, 'completion_tokens': 1366, 'total_tokens': 5326}",2,"{""classification"": {""duration_s"": 0.75, ""prompt_tokens"": 5612, ""completion_tokens"": 336, ""total_tokens"": 5948}, ""mitre_search_node"": {""duration_s"": 0.02, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 3.81, ""prompt_tokens"": 9021, ""completion_tokens"": 3521, ""total_tokens"": 12542}}",EVAL-F00D5E
2026-06-05 14:55:43.801585,1758567062.115628,2025-09-22 18:51:02.101000+00:00,Wazuh agent stopped.,[],[],['T1562.001'],[],,2.75,"{'prompt_tokens': 3448, 'completion_tokens': 532, 'total_tokens': 3980}",2,"{""classification"": {""duration_s"": 0.83, ""prompt_tokens"": 6726, ""completion_tokens"": 459, ""total_tokens"": 7185}, ""mitre_search_node"": {""duration_s"": 0.03, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 1.88, ""prompt_tokens"": 11355, ""completion_tokens"": 3930, ""total_tokens"": 15285}}",EVAL-F00D5E
2026-06-05 14:55:47.967718,1758567202.1156735,2025-09-22 18:53:22.278000+00:00,First time user executed sudo.,['T1548.003'],[],['T1548.003'],[],,4.16,"{'prompt_tokens': 4168, 'completion_tokens': 1204, 'total_tokens': 5372}",2,"{""classification"": {""duration_s"": 0.82, ""prompt_tokens"": 7870, ""completion_tokens"": 585, ""total_tokens"": 8455}, ""mitre_search_node"": {""duration_s"": 0.03, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 3.31, ""prompt_tokens"": 14379, ""completion_tokens"": 5008, ""total_tokens"": 19387}}",EVAL-F00D5E
2026-06-05 14:55:56.647028,1758567202.1156857,2025-09-22 18:53:22.295000+00:00,Successful sudo executed.,['T1548.003'],['CVE-2020-25730'],['T1548.003'],[],,8.68,"{'prompt_tokens': 6192, 'completion_tokens': 1887, 'total_tokens': 8079}",2,"{""classification"": {""duration_s"": 1.39, ""prompt_tokens"": 9184, ""completion_tokens"": 758, ""total_tokens"": 9942}, ""mitre_search_node"": {""duration_s"": 0.05, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 6.81, ""prompt_tokens"": 19257, ""completion_tokens"": 6722, ""total_tokens"": 25979}, ""cve_search_node"": {""duration_s"": 0.47, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}}",EVAL-F00D5E
2026-06-05 14:55:59.647085,1758567362.115914,2025-09-22 18:56:02.451000+00:00,New user added to the system.,['T1136.001'],[],['T1136'],[],,3.0,"{'prompt_tokens': 3288, 'completion_tokens': 746, 'total_tokens': 4034}",2,"{""classification"": {""duration_s"": 0.85, ""prompt_tokens"": 10636, ""completion_tokens"": 855, ""total_tokens"": 11491}, ""mitre_search_node"": {""duration_s"": 0.02, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 2.12, ""prompt_tokens"": 21093, ""completion_tokens"": 7371, ""total_tokens"": 28464}, ""cve_search_node"": {""duration_s"": 0.47, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}}",EVAL-F00D5E
2026-06-05 14:56:04.062682,1758567542.115997,2025-09-22 18:59:02.613000+00:00,Successful sudo to ROOT executed.,['T1548.003'],[],['T1548.003'],[],,4.41,"{'prompt_tokens': 4386, 'completion_tokens': 1208, 'total_tokens': 5594}",2,"{""classification"": {""duration_s"": 0.78, ""prompt_tokens"": 11994, ""completion_tokens"": 954, ""total_tokens"": 12948}, ""mitre_search_node"": {""duration_s"": 0.02, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 3.6, ""prompt_tokens"": 24121, ""completion_tokens"": 8480, ""total_tokens"": 32601}, ""cve_search_node"": {""duration_s"": 0.47, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}}",EVAL-F00D5E
2026-06-05 14:56:07.867379,1758565836.169357,2025-09-22 18:30:36.127000+00:00,Multiple web server 400 error codes from same source ip.,['T1595.002'],[],['T1595.002'],[],,3.8,"{'prompt_tokens': 6913, 'completion_tokens': 865, 'total_tokens': 7778}",2,"{""classification"": {""duration_s"": 0.97, ""prompt_tokens"": 15542, ""completion_tokens"": 1075, ""total_tokens"": 16617}, ""mitre_search_node"": {""duration_s"": 0.02, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 2.8, ""prompt_tokens"": 27486, ""completion_tokens"": 9224, ""total_tokens"": 36710}, ""cve_search_node"": {""duration_s"": 0.47, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}}",EVAL-F00D5E
2026-06-05 14:56:12.059962,1758565836.1733773,2025-09-22 18:30:36.260000+00:00,Suspicious URL access.,['T1595.002'],[],['T1055'],[],,4.19,"{'prompt_tokens': 5207, 'completion_tokens': 1148, 'total_tokens': 6355}",2,"{""classification"": {""duration_s"": 1.03, ""prompt_tokens"": 16876, ""completion_tokens"": 1221, ""total_tokens"": 18097}, ""mitre_search_node"": {""duration_s"": 0.04, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 3.01, ""prompt_tokens"": 31359, ""completion_tokens"": 10226, ""total_tokens"": 41585}, ""cve_search_node"": {""duration_s"": 0.15, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}}",EVAL-F00D5E
2026-06-05 14:56:15.957159,1758565842.190893,2025-09-22 18:30:42.254000+00:00,Common web attack.,[],[],"['T1055', 'T1083', 'T1190']",[],,3.9,"{'prompt_tokens': 6468, 'completion_tokens': 883, 'total_tokens': 7351}",2,"{""classification"": {""duration_s"": 1.39, ""prompt_tokens"": 18394, ""completion_tokens"": 1401, ""total_tokens"": 19795}, ""mitre_search_node"": {""duration_s"": 0.05, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 2.42, ""prompt_tokens"": 36309, ""completion_tokens"": 10929, ""total_tokens"": 47238}, ""cve_search_node"": {""duration_s"": 0.07, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}}",EVAL-F00D5E
2026-06-05 14:56:20.487039,1758565844.2307162,2025-09-22 18:30:44.272000+00:00,Multiple common web attacks from same source ip.,[],[],"['T1055', 'T1083']",[],,4.53,"{'prompt_tokens': 8885, 'completion_tokens': 917, 'total_tokens': 9802}",2,"{""classification"": {""duration_s"": 1.39, ""prompt_tokens"": 21710, ""completion_tokens"": 1610, ""total_tokens"": 23320}, ""mitre_search_node"": {""duration_s"": 0.05, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 3.05, ""prompt_tokens"": 41878, ""completion_tokens"": 11637, ""total_tokens"": 53515}, ""cve_search_node"": {""duration_s"": 0.08, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}}",EVAL-F00D5E
